club_name,league_name
FC Barcelona,Spain Primera Division
Juventus,Italian Serie A
Atlético Madrid,Spain Primera Division
FC Bayern München,German 1. Bundesliga
Paris Saint-Germain,French Ligue 1
Manchester City,English Premier League
Liverpool,English Premier League
Real Madrid,Spain Primera Division
Tottenham Hotspur,English Premier League
Inter,Italian Serie A
Napoli,Italian Serie A
Chelsea,English Premier League
Borussia Dortmund,German 1. Bundesliga
Manchester United,English Premier League
Arsenal,English Premier League
Lazio,Italian Serie A
Atalanta,Italian Serie A
Real Sociedad,Spain Primera Division
Borussia Mönchengladbach,German 1. Bundesliga
Leicester City,English Premier League
Milan,Italian Serie A
Olympique Lyonnais,French Ligue 1
RB Leipzig,German 1. Bundesliga
Villarreal CF,Spain Primera Division
SL Benfica,Portuguese Liga ZON SAGRES
Ajax,Holland Eredivisie
Everton,English Premier League
FC Porto,Portuguese Liga ZON SAGRES
Sevilla FC,Spain Primera Division
Torino,Italian Serie A
Wolverhampton Wanderers,English Premier League
RC Celta,Spain Primera Division
AS Monaco,French Ligue 1
Valencia CF,Spain Primera Division
Roma,Italian Serie A
VfL Wolfsburg,German 1. Bundesliga
Real Betis,Spain Primera Division
Olympique de Marseille,French Ligue 1
Inter Miami,USA Major League Soccer
Beijing Sinobo Guoan FC,Chinese Super League
Los Angeles FC,USA Major League Soccer
Al Shabab,Saudi Abdul L. Jameel League
Athletic Club de Bilbao,Spain Primera Division
Guangzhou Evergrande Taobao FC,Chinese Super League
Shanghai SIPG FC,Chinese Super League
Eintracht Frankfurt,German 1. Bundesliga
Bayer 04 Leverkusen,German 1. Bundesliga
Levante UD,Spain Primera Division
Crystal Palace,English Premier League
Medipol Başakşehir FK,Turkish Süper Lig
Newcastle United,English Premier League
Grêmio,Campeonato Brasileiro Série A
Fulham,English Premier League
LOSC Lille,French Ligue 1
Genoa,Italian Serie A
Deportivo Alavés,Spain Primera Division
Getafe CF,Spain Primera Division
Burnley,English Premier League
SV Werder Bremen,German 1. Bundesliga
Galatasaray SK,Turkish Süper Lig
PFC CSKA Moscow,Russian Premier League
TSG 1899 Hoffenheim,German 1. Bundesliga
Leeds United,English Premier League
West Ham United,English Premier League
Cagliari,Italian Serie A
Stade Rennais FC,French Ligue 1
OGC Nice,French Ligue 1
Boca Juniors,Argentina Primera División
Atlanta United,USA Major League Soccer
SD Eibar,Spain Primera Division
Vissel Kobe,Japanese J. League Division 1
Tigres U.A.N.L.,Mexican Liga MX
Fiorentina,Italian Serie A
Sassuolo,Italian Serie A
AS Saint-Étienne,French Ligue 1
Dalian YiFang FC,Chinese Super League
Club Brugge KV,Belgian Jupiler Pro League
1. FC Union Berlin,German 1. Bundesliga
Shakhtar Donetsk,Ukrainian Premier League
Sporting CP,Portuguese Liga ZON SAGRES
Real Valladolid CF,Spain Primera Division
Feyenoord,Holland Eredivisie
PSV,Holland Eredivisie
River Plate,Argentina Primera División
São Paulo,Campeonato Brasileiro Série A
Atlético Mineiro,Campeonato Brasileiro Série A
Palmeiras,Campeonato Brasileiro Série A
Flamengo,Campeonato Brasileiro Série A
Dinamo Zagreb,Croatian Prva HNL
Dynamo Kyiv,Ukrainian Premier League
Aston Villa,English Premier League
Udinese,Italian Serie A
Brighton & Hove Albion,English Premier League
Watford,English League Championship
FC Groningen,Holland Eredivisie
Orlando City SC,USA Major League Soccer
Al Hilal,Saudi Abdul L. Jameel League
Sampdoria,Italian Serie A
Guangzhou R&F FC,Chinese Super League
Jiangsu Suning FC,Chinese Super League
West Bromwich Albion,English Premier League
Al Nassr,Saudi Abdul L. Jameel League
Fenerbahçe SK,Turkish Süper Lig
Beşiktaş JK,Turkish Süper Lig
Hebei China Fortune FC,Chinese Super League
Southampton,English Premier League
Lokomotiv Moscow,Russian Premier League
Fluminense,Campeonato Brasileiro Série A
Sheffield United,English Premier League
LA Galaxy,USA Major League Soccer
Stade de Reims,French Ligue 1
Granada CF,Spain Primera Division
SC Braga,Portuguese Liga ZON SAGRES
SC Freiburg,German 1. Bundesliga
CA Osasuna,Spain Primera Division
RC Strasbourg Alsace,French Ligue 1
AZ Alkmaar,Holland Eredivisie
Hertha BSC,German 1. Bundesliga
FC Schalke 04,German 1. Bundesliga
Vitória Guimarães,Portuguese Liga ZON SAGRES
Club América,Mexican Liga MX
Estudiantes de La Plata,Argentina Primera División
FC Girondins de Bordeaux,French Ligue 1
Olympiacos CFP,Greek Super League
Portland Timbers,USA Major League Soccer
Racing Club,Argentina Primera División
Girona FC,Spanish Segunda División
Shanghai Greenland Shenhua FC,Chinese Super League
Montpellier HSC,French Ligue 1
Toronto FC,USA Major League Soccer
Coritiba,Campeonato Brasileiro Série A
Internacional,Campeonato Brasileiro Série A
Santos,Campeonato Brasileiro Série A
Angers SCO,French Ligue 1
FC Nantes,French Ligue 1
RCD Espanyol,Spanish Segunda División
SK Slavia Praha,Czech Republic Gambrinus Liga
Spartak Moscow,Russian Premier League
BSC Young Boys,Swiss Super League
Cruz Azul,Mexican Liga MX
SD Huesca,Spain Primera Division
Parma,Italian Serie A
San Lorenzo de Almagro,Argentina Primera División
Royal Antwerp FC,Belgian Jupiler Pro League
